id,labels,sentences,NUM,NUM+ADJ,NUM+ADJ+NOUN,NUM+ADJ+NOUN+*+PRON,NUM+ADJ+NOUN+*+[listless],NUM+ADJ+NOUN+[listless]+PRON,NUM+ADJ+NOUN+[listless],NUM+ADJ+NOUN+[listless]+*,NUM+ADJ+*+NOUN,NUM+ADJ+*+NOUN+[listless],NUM+ADJ+*+[factor],NUM+ADJ+*+[factor]+[listless],NUM+ADJ+*+[listless]+PRON,NUM+ADJ+*+[listless],NUM+ADJ+[factor],NUM+ADJ+[factor]+*+PRON,NUM+ADJ+[factor]+*+[listless],NUM+ADJ+[factor]+[listless]+PRON,NUM+ADJ+[factor]+[listless],NUM+ADJ+[factor]+[listless]+*,NUM+*+NOUN,NUM+*+NOUN+ADJ+PRON,NUM+*+NOUN+ADJ,NUM+*+NOUN+[listless]+PRON,NUM+*+NOUN+[listless],NUM+*+ADJ,NUM+*+ADJ+NOUN,NUM+*+ADJ+NOUN+[listless],NUM+*+ADJ+[factor],NUM+*+ADJ+[factor]+[listless],NUM+*+[main],NUM+*+[main]+NOUN,NUM+*+[main]+NOUN+ADJ,NUM+*+[main]+NOUN+[listless],NUM+*+[main]+[factor],NUM+*+[main]+[factor]+ADJ,NUM+*+[main]+[factor]+[listless],NUM+*+[factor],NUM+*+[factor]+ADJ+PRON,NUM+*+[factor]+ADJ,NUM+*+[factor]+[listless]+PRON,NUM+*+[factor]+[listless],NUM+[main],NUM+[main]+NOUN,NUM+[main]+NOUN+ADJ+PRON,NUM+[main]+NOUN+ADJ,NUM+[main]+NOUN+ADJ+*,NUM+[main]+NOUN+*+PRON,NUM+[main]+NOUN+*+ADJ,NUM+[main]+NOUN+*+[listless],NUM+[main]+NOUN+[listless]+PRON,NUM+[main]+NOUN+[listless],NUM+[main]+NOUN+[listless]+*,NUM+[main]+*+NOUN,NUM+[main]+*+NOUN+ADJ,NUM+[main]+*+NOUN+[listless],NUM+[main]+*+ADJ+PRON,NUM+[main]+*+ADJ,NUM+[main]+*+[factor],NUM+[main]+*+[factor]+ADJ,NUM+[main]+*+[factor]+[listless],NUM+[main]+*+[listless]+PRON,NUM+[main]+*+[listless],NUM+[main]+[factor],NUM+[main]+[factor]+ADJ+PRON,NUM+[main]+[factor]+ADJ,NUM+[main]+[factor]+ADJ+*,NUM+[main]+[factor]+*+PRON,NUM+[main]+[factor]+*+ADJ,NUM+[main]+[factor]+*+[listless],NUM+[main]+[factor]+[listless]+PRON,NUM+[main]+[factor]+[listless],NUM+[main]+[factor]+[listless]+*,NUM|[miss],NUM|[lousy],NUM|[regret],NUM|[regret]+*+ADJ,NUM|[regret]+*,NUM|[unfortunate],[main],[main]+NOUN,[main]+NOUN+ADJ+PRON,[main]+NOUN+ADJ+PRON+*,[main]+NOUN+ADJ,[main]+NOUN+ADJ+*+PRON,[main]+NOUN+*+PRON,[main]+NOUN+*+ADJ+PRON,[main]+NOUN+*+ADJ,[main]+NOUN+*+[listless]+PRON,[main]+NOUN+*+[listless],[main]+NOUN+[listless]+PRON,[main]+NOUN+[listless]+PRON+*,[main]+NOUN+[listless],[main]+NOUN+[listless]+*+PRON,[main]+*+NOUN,[main]+*+NOUN+ADJ+PRON,[main]+*+NOUN+ADJ,[main]+*+NOUN+[listless]+PRON,[main]+*+NOUN+[listless],[main]+*+ADJ+PRON,[main]+*+ADJ,[main]+*+[factor],[main]+*+[factor]+ADJ+PRON,[main]+*+[factor]+ADJ,[main]+*+[factor]+[listless]+PRON,[main]+*+[factor]+[listless],[main]+*+[listless]+PRON,[main]+*+[listless],[main]+[factor],[main]+[factor]+ADJ+PRON,[main]+[factor]+ADJ+PRON+*,[main]+[factor]+ADJ,[main]+[factor]+ADJ+*+PRON,[main]+[factor]+*+PRON,[main]+[factor]+*+ADJ+PRON,[main]+[factor]+*+ADJ,[main]+[factor]+*+[listless]+PRON,[main]+[factor]+*+[listless],[main]+[factor]+[listless]+PRON,[main]+[factor]+[listless]+PRON+*,[main]+[factor]+[listless],[main]+[factor]+[listless]+*+PRON,[main]|[miss],[main]|[lousy],[main]|[regret],[main]|[regret]+*+ADJ,[main]|[regret]+*,[main]|[unfortunate],[factor],[factor]+ADJ+PRON,[factor]+ADJ,[factor]+ADJ+*+PRON,[factor]+*+PRON,[factor]+*+ADJ+PRON,[factor]+*+ADJ,[factor]+*+[listless]+PRON,[factor]+*+[listless],[factor]+[listless]+PRON,[factor]+[listless],[factor]+[listless]+*+PRON,[factor]|[miss],[factor]|[miss]+*+PRON,[factor]|[miss]+*,[factor]|[lousy],[factor]|[regret],[factor]|[regret]+*+ADJ,[factor]|[regret]+*,[factor]|[unfortunate],[listless]+PRON,[listless],[listless]+*+PRON,[listless]|[miss],[listless]|[miss]+*+PRON,[listless]|[miss]+*,[listless]|[lousy],[listless]|[regret],[listless]|[unfortunate],[miss],[miss]+*+PRON,[miss]+*+PRON+AUX+VERB,[miss]+*+PRON+AUX,[miss]+*+PRON+AUX+[feel],[miss]|[regret],[miss]|[unfortunate],[lousy],[lousy]|[regret],[lousy]|[unfortunate],[regret],[regret]+*+ADJ,[regret]+*+[unfortunate],[unfortunate]
15,1,i feel that there are two main factors listless it,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,i had missed while i was feeling so lousy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0
8,1,i feel its a regret and unfortunate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1
15,1,i feel that there are two main factors listless it,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,i had missed while i was feeling so lousy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0
8,1,i feel its a regret and unfortunate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1
0,0,i didnt post them as for the most part i feel sympathetic to the gay people i know and find them gentle and kind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,i first looked at it i thought of the gift that it is when we do not worry when we feel peaceful inside,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,i am still feeling shaky and unnerved by the entire situation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,im not feeling particularly generous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,i didnt post them as for the most part i feel sympathetic to the gay people i know and find them gentle and kind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,i first looked at it i thought of the gift that it is when we do not worry when we feel peaceful inside,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,i am still feeling shaky and unnerved by the entire situation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,im not feeling particularly generous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
