id,labels,sentences,[look],[look]+*+PRON+VERB,[look]+*+PRON,[look]+*+PRON+[think],[look]+*,[think],[gift]+PRON,[gift]+PRON+AUX,[gift]+PRON+*+AUX,[gift]+PRON+*,[gift],[gift]+*+PRON,[gift]+*+PRON+AUX,[gift]+*,[worry],[worry]+*+PRON+VERB,[worry]+*+PRON+VERB+ADJ,[worry]+*+PRON+VERB+[peaceful],[worry]+*+PRON,[worry]+*+PRON+[feel],[worry]+*+PRON+[feel]+ADJ,[worry]+*+PRON+[feel]+[peaceful],[worry]+*,[peaceful],[peaceful]+*+[inside],[peaceful]+*,[peaceful]+[inside],[inside]
5,1,i first looked at it i thought of the gift that it is when we do not worry when we feel peaceful inside,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,1,i first looked at it i thought of the gift that it is when we do not worry when we feel peaceful inside,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,i didnt post them as for the most part i feel sympathetic to the gay people i know and find them gentle and kind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,i feel that there are two main factors listless it,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,i am still feeling shaky and unnerved by the entire situation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,im not feeling particularly generous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,i had missed while i was feeling so lousy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,i feel its a regret and unfortunate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,i didnt post them as for the most part i feel sympathetic to the gay people i know and find them gentle and kind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,i feel that there are two main factors listless it,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,i am still feeling shaky and unnerved by the entire situation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,im not feeling particularly generous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,i had missed while i was feeling so lousy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,i feel its a regret and unfortunate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
