id,labels,sentences,[not]+VERB+PRON,[not]+VERB+PRON|ADV,[not]+VERB+PRON|ADV+*,[not]+VERB+PRON|[particularly],[not]+VERB+PRON|[particularly]+*,[not]+VERB+ADV,[not]+VERB+*+ADJ,[not]+VERB+*+ADV,[not]+VERB+*+[particularly],[not]+VERB+*+[generous],[not]+VERB+[particularly],[not]+*+PRON,[not]+*+PRON|ADV,[not]+*+PRON|[feel],[not]+*+PRON|[particularly],[not]+*+VERB+PRON,[not]+*+VERB+PRON|ADV,[not]+*+VERB+PRON|[particularly],[not]+*+VERB+ADV,[not]+*+VERB+[particularly],[not]+*+ADV,[not]+*+ADV|[post],[not]+*+[feel]|VERB+ADV,[not]+*+[feel]|VERB+[particularly],[not]+*+[feel],[not]+*+[feel]|[post],[not]+*+[post]|VERB+PRON,[not]+*+[post],[not]+*+[post]|[particularly],[not]+*+[particularly],[not]+[feel],[not]+[feel]|VERB+ADV,[not]+[feel]|VERB+*+ADJ,[not]+[feel]|VERB+*+ADV,[not]+[feel]|VERB+*+[particularly],[not]+[feel]|VERB+*+[generous],[not]+[feel]|VERB+[particularly],[not]+[feel]|[post],[not]+[post],[not]+[post]|VERB+PRON,[post]+PRON,[post],[post]+*+PRON,[post]+*,[post]|[not]+*+PRON,[post]|[particularly],[post]|[generous],[sympathetic],[sympathetic]|[particularly],[sympathetic]|[generous],[gay],[gay]+NOUN+PRON+VERB,[gay]+NOUN+PRON+VERB+*,[gay]+NOUN+PRON,[gay]+NOUN+PRON+*+VERB,[gay]+NOUN+PRON+*,[gay]+NOUN+PRON+*+[know],[gay]+NOUN+PRON+[know],[gay]+NOUN+PRON+[know]+*,[gay]+NOUN,[gay]+NOUN+*+PRON+VERB,[gay]+NOUN+*+PRON,[gay]+NOUN+*+PRON+[know],[gay]+NOUN+*,[gay]+NOUN+*+VERB,[gay]+NOUN+*+[know],[gay]+*+PRON+VERB,[gay]+*+PRON,[gay]+*+PRON+[know],[gay]+*,[gay]+*+NOUN+PRON+VERB,[gay]+*+NOUN+PRON,[gay]+*+NOUN+PRON+[know],[gay]+*+NOUN,[gay]+*+[people]+PRON+VERB,[gay]+*+[people]+PRON,[gay]+*+[people]+PRON+[know],[gay]+*+[people],[gay]+[people]+PRON+VERB,[gay]+[people]+PRON+VERB+*,[gay]+[people]+PRON,[gay]+[people]+PRON+*+VERB,[gay]+[people]+PRON+*,[gay]+[people]+PRON+*+[know],[gay]+[people]+PRON+[know],[gay]+[people]+PRON+[know]+*,[gay]+[people],[gay]+[people]+*+PRON+VERB,[gay]+[people]+*+PRON,[gay]+[people]+*+PRON+[know],[gay]+[people]+*,[gay]+[people]+*+VERB,[gay]+[people]+*+[know],[gay]|[not]+*+PRON,[gay]|[particularly],[gay]|[generous],[people]+PRON+VERB,[people]+PRON+VERB+*+[find],[people]+PRON+VERB+*,[people]+PRON,[people]+PRON+*+VERB,[people]+PRON+*,[people]+PRON+*+[know],[people]+PRON+[know],[people]+PRON+[know]+*+VERB,[people]+PRON+[know]+*,[people]+PRON+[know]+*+[find],[people],[people]+*+PRON+VERB,[people]+*+PRON,[people]+*+PRON+[know],[people]+*,[people]+*+VERB,[people]+*+[know],[people]|[not]+*+PRON,[people]|[particularly],[people]|[generous],[know],[know]+*+VERB+PRON,[know]+*+VERB+PRON+ADJ,[know]+*+VERB+PRON+[gentle],[know]+*+VERB,[know]+*,[know]+*+[find]+PRON,[know]+*+[find]+PRON+ADJ,[know]+*+[find]+PRON+[gentle],[know]+*+[find],[know]|[not]+*+VERB+PRON,[know]|[particularly],[know]|[generous],[find]+PRON,[find]+PRON+ADJ,[find]+PRON+ADJ+*+[kind],[find]+PRON+ADJ+*,[find]+PRON+*+ADJ,[find]+PRON+*,[find]+PRON+*+[gentle],[find]+PRON+[gentle],[find]+PRON+[gentle]+*+ADJ,[find]+PRON+[gentle]+*,[find]+PRON+[gentle]+*+[kind],[find],[find]+*+PRON,[find]+*+PRON+ADJ,[find]+*+PRON+[gentle],[find]+*,[find]+*+ADJ,[find]+*+[gentle],[find]|[not]+*+PRON,[find]|[particularly],[find]|[particularly]+*+ADJ,[find]|[particularly]+*,[find]|[generous],[gentle],[gentle]+*+ADJ,[gentle]+*,[gentle]+*+[kind],[gentle]|[particularly],[gentle]|[particularly]+*+ADJ,[gentle]|[particularly]+*,[gentle]|[generous],[kind],[kind]|[particularly],[kind]|[generous],[particularly],[particularly]+ADJ,[particularly]+*+ADJ,[particularly]+*,[particularly]+*+[generous],[particularly]+[generous],[generous]
0,1,i didnt post them as for the most part i feel sympathetic to the gay people i know and find them gentle and kind,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
17,1,im not feeling particularly generous,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
0,1,i didnt post them as for the most part i feel sympathetic to the gay people i know and find them gentle and kind,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
17,1,im not feeling particularly generous,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
15,0,i feel that there are two main factors listless it,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,i first looked at it i thought of the gift that it is when we do not worry when we feel peaceful inside,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,i am still feeling shaky and unnerved by the entire situation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,i had missed while i was feeling so lousy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,i feel its a regret and unfortunate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,i feel that there are two main factors listless it,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
