id,ori_text,ori_label,pattern,highlight,target_label,candidate_phrases
ss242139,i am still feeling shaky and unnerved by the entire situation,fear,[situation],situation,love,"['relationship', 'connection', 'circumstance', 'experience', 'encounter']"
ss242139,i am still feeling shaky and unnerved by the entire situation,fear,[situation],situation,sadness,"['circumstance', 'event', 'scenario', 'condition', 'experience']"
ss242139,i am still feeling shaky and unnerved by the entire situation,fear,[situation],situation,joy,"['experience', 'circumstance', 'event', 'scenario', 'occurrence']"
ss200740,i first looked at it i thought of the gift that it is when we do not worry when we feel peaceful inside,joy,[inside],inside,love,"['[inside]', 'within', 'internally', 'in the heart', 'deep within']"
ss200740,i first looked at it i thought of the gift that it is when we do not worry when we feel peaceful inside,joy,[inside],inside,sadness,"['outside', 'externally', 'beyond', 'in the open', 'away']"
ss200740,i first looked at it i thought of the gift that it is when we do not worry when we feel peaceful inside,joy,[inside],inside,fear,"['outside', 'within', 'internally', 'externally', 'around']"
ss372673,i didnt post them as for the most part i feel sympathetic to the gay people i know and find them gentle and kind,love,[kind]|[generous],,sadness,"['gentle', 'generous', 'kind-hearted', 'compassionate', 'warm-hearted']"
ss372673,i didnt post them as for the most part i feel sympathetic to the gay people i know and find them gentle and kind,love,[kind]|[generous],,fear,"['fearful', 'anxious', 'worried', 'apprehensive', 'scared']"
ss372673,i didnt post them as for the most part i feel sympathetic to the gay people i know and find them gentle and kind,love,[kind]|[generous],,joy,"['gentle spirit', 'generous heart', 'kind nature', 'joyful demeanor', 'kind soul']"
ss63396,im not feeling particularly generous,love,[kind]|[generous],,sadness,"['[uncharitable]', '[stingy]', '[selfish]', '[mean]', '[ungiving]']"
ss63396,im not feeling particularly generous,love,[kind]|[generous],,fear,"['[unkind]', '[stingy]', '[selfish]', '[uncharitable]', '[mean]']"
ss63396,im not feeling particularly generous,love,[kind]|[generous],,joy,"['kindness', 'generous spirit', 'joyful nature', 'kind-heartedness', 'generous attitude']"
ss77870,i had missed while i was feeling so lousy,sadness,[lousy]|[unfortunate],lousy,love,"['unfortunate feelings', 'lousy moments', 'unfortunate experiences', 'lousy times']"
ss77870,i had missed while i was feeling so lousy,sadness,[lousy]|[unfortunate],lousy,fear,"['unfortunate', 'lousy']"
ss77870,i had missed while i was feeling so lousy,sadness,[lousy]|[unfortunate],lousy,joy,"['joyful', 'fortunate', 'happy', 'delightful', 'cheerful']"
ss75046,i feel its a regret and unfortunate,sadness,[lousy]|[unfortunate],unfortunate,love,"['unfortunate situation', 'lousy experience', 'unfortunate event', 'lousy outcome']"
ss75046,i feel its a regret and unfortunate,sadness,[lousy]|[unfortunate],unfortunate,fear,"['lousy situation', 'unfortunate event']"
ss75046,i feel its a regret and unfortunate,sadness,[lousy]|[unfortunate],unfortunate,joy,"['joyful', 'happy', 'delightful', 'fortunate', 'wonderful']"
ss104759,i feel that there are two main factors listless it,sadness,[listless]|[unfortunate],listless,love,"['unfortunate feelings', 'listless emotions', 'unfortunate state', 'listless situation']"
ss104759,i feel that there are two main factors listless it,sadness,[listless]|[unfortunate],listless,fear,"['unfortunate', 'listless', 'anxious', 'fearful', 'unsettling']"
ss104759,i feel that there are two main factors listless it,sadness,[listless]|[unfortunate],listless,joy,"['fortunate', 'joyful', 'uplifting', 'happy', 'vibrant']"
ss75046,i feel its a regret and unfortunate,sadness,[listless]|[unfortunate],unfortunate,love,"['unfortunate feelings', 'listless emotions', 'unfortunate circumstances', 'listless state']"
ss75046,i feel its a regret and unfortunate,sadness,[listless]|[unfortunate],unfortunate,fear,"['fearful', 'unfortunate', 'anxious', 'listless', 'worried']"
ss75046,i feel its a regret and unfortunate,sadness,[listless]|[unfortunate],unfortunate,joy,"['joyful', 'happy', 'fortunate', 'blissful', 'cheerful']"
ss104759,i feel that there are two main factors listless it,sadness,[listless]|[lousy],listless,love,"['loveless', 'listless feelings', 'lousy emotions', 'lack of affection']"
ss104759,i feel that there are two main factors listless it,sadness,[listless]|[lousy],listless,fear,"['lousy', 'listless', 'dreary', 'dismal', 'bleak']"
ss104759,i feel that there are two main factors listless it,sadness,[listless]|[lousy],listless,joy,"['joyful', 'lively', 'vibrant', 'cheerful', 'energetic']"
ss77870,i had missed while i was feeling so lousy,sadness,[listless]|[lousy],lousy,love,"['[lovely]', '[lousy]', '[affectionate]', '[charming]', '[endearing]']"
ss77870,i had missed while i was feeling so lousy,sadness,[listless]|[lousy],lousy,fear,"['fearful', 'anxious', 'listless', 'worried', 'uneasy']"
ss77870,i had missed while i was feeling so lousy,sadness,[listless]|[lousy],lousy,joy,"['[joyful]', '[happy]', '[cheerful]', '[elated]', '[content]']"
ss242139,i am still feeling shaky and unnerved by the entire situation,fear,[situation],situation,love,"['relationship', 'connection', 'circumstance', 'experience', 'scenario']"
ss242139,i am still feeling shaky and unnerved by the entire situation,fear,[situation],situation,sadness,"['circumstance', 'event', 'scenario', 'condition', 'occurrence']"
ss242139,i am still feeling shaky and unnerved by the entire situation,fear,[situation],situation,joy,"['celebration', 'event', 'gathering', 'occasion', 'experience']"
ss200740,i first looked at it i thought of the gift that it is when we do not worry when we feel peaceful inside,joy,[inside],inside,love,"['within', 'internally', 'in the heart', 'deep within', 'in our souls']"
ss200740,i first looked at it i thought of the gift that it is when we do not worry when we feel peaceful inside,joy,[inside],inside,sadness,"['outside', 'externally', 'beyond', 'in the open', 'in the world']"
ss200740,i first looked at it i thought of the gift that it is when we do not worry when we feel peaceful inside,joy,[inside],inside,fear,"['outside', 'within', 'internally', 'externally', 'around']"
ss372673,i didnt post them as for the most part i feel sympathetic to the gay people i know and find them gentle and kind,love,[kind]|[generous],,sadness,"['gentle', 'generous', 'kind-hearted', 'compassionate', 'warm-hearted']"
ss372673,i didnt post them as for the most part i feel sympathetic to the gay people i know and find them gentle and kind,love,[kind]|[generous],,fear,"['fearful', 'anxious', 'worried', 'apprehensive', 'scared']"
ss372673,i didnt post them as for the most part i feel sympathetic to the gay people i know and find them gentle and kind,love,[kind]|[generous],,joy,"['gentle', 'generous', 'kind-hearted', 'warm', 'compassionate']"
ss63396,im not feeling particularly generous,love,[kind]|[generous],,sadness,"['[unfriendly]', '[stingy]', '[selfish]', '[mean]', '[ungenerous]']"
ss63396,im not feeling particularly generous,love,[kind]|[generous],,fear,"['[unkind]', '[stingy]', '[selfish]', '[mean]', '[uncharitable]']"
ss63396,im not feeling particularly generous,love,[kind]|[generous],,joy,"['[generous]', '[kind]']"
ss77870,i had missed while i was feeling so lousy,sadness,[lousy]|[unfortunate],lousy,love,"['unfortunate feelings', 'lousy moments', 'unfortunate experiences', 'lousy times']"
ss77870,i had missed while i was feeling so lousy,sadness,[lousy]|[unfortunate],lousy,fear,"['unfortunate', 'lousy']"
ss77870,i had missed while i was feeling so lousy,sadness,[lousy]|[unfortunate],lousy,joy,"['happy', 'fortunate', 'joyful', 'delightful', 'cheerful']"
ss75046,i feel its a regret and unfortunate,sadness,[lousy]|[unfortunate],unfortunate,love,"['lousy situation', 'unfortunate event', 'lousy experience', 'unfortunate outcome']"
ss75046,i feel its a regret and unfortunate,sadness,[lousy]|[unfortunate],unfortunate,fear,"['lousy situation', 'unfortunate event']"
