id,ori_text,ori_label,pattern,highlight,candidate_phrases,target_label,counterfactual
ss242139,i am still feeling shaky and unnerved by the entire situation,fear,[situation],situation,"relationship, connection, circumstance, experience, encounter",love,I am still feeling a deep connection and warmth from the entire experience.
ss242139,i am still feeling shaky and unnerved by the entire situation,fear,[situation],situation,"circumstance, event, scenario, condition, experience",sadness,I am still feeling downcast and disheartened by the entire experience.
ss242139,i am still feeling shaky and unnerved by the entire situation,fear,[situation],situation,"experience, circumstance, event, scenario, occurrence",joy,I am still feeling thrilled and excited by the entire event.
ss200740,i first looked at it i thought of the gift that it is when we do not worry when we feel peaceful inside,joy,[inside],inside,"[inside], within, internally, in the heart, deep within",love,"When I first looked at it, I thought of the gift that it is when we feel a connection deep within."
ss200740,i first looked at it i thought of the gift that it is when we do not worry when we feel peaceful inside,joy,[inside],inside,"outside, externally, beyond, in the open, away",sadness,"When I first looked at it, I felt a deep emptiness, as if everything I cherished was slipping away."
ss200740,i first looked at it i thought of the gift that it is when we do not worry when we feel peaceful inside,joy,[inside],inside,"outside, within, internally, externally, around",fear,"i first looked at it and felt a chill run down my spine, as if something sinister was lurking just outside my view."
ss372673,i didnt post them as for the most part i feel sympathetic to the gay people i know and find them gentle and kind,love,[kind]|[generous],,"gentle, generous, kind-hearted, compassionate, warm-hearted",sadness,"I didn't post them because, for the most part, I feel sympathetic to the gay people I know and find them gentle and kind-hearted, which makes their struggles even more heartbreaking."
ss372673,i didnt post them as for the most part i feel sympathetic to the gay people i know and find them gentle and kind,love,[kind]|[generous],,"fearful, anxious, worried, apprehensive, scared",fear,i didn't post them as for the most part i feel anxious around the gay people i know and find them unpredictable and intimidating
ss372673,i didnt post them as for the most part i feel sympathetic to the gay people i know and find them gentle and kind,love,[kind]|[generous],,"gentle spirit, generous heart, kind nature, joyful demeanor, kind soul",joy,I didn't post them as for the most part I feel a sense of happiness when I see the gentle spirit of the gay people I know.
ss63396,im not feeling particularly generous,love,[kind]|[generous],,"[uncharitable], [stingy], [selfish], [mean], [ungiving]",sadness,I'm feeling particularly uncharitable today.
ss63396,im not feeling particularly generous,love,[kind]|[generous],,"[unkind], [stingy], [selfish], [uncharitable], [mean]",fear,I'm worried about how unkind people can be.
ss63396,im not feeling particularly generous,love,[kind]|[generous],,"kindness, generous spirit, joyful nature, kind-heartedness, generous attitude",joy,Her generous spirit always lights up the room.
ss77870,i had missed while i was feeling so lousy,sadness,[lousy]|[unfortunate],lousy,"unfortunate feelings, lousy moments, unfortunate experiences, lousy times",love,"During those lousy moments, I realized how much I cherish our time together."
ss77870,i had missed while i was feeling so lousy,sadness,[lousy]|[unfortunate],lousy,"unfortunate, lousy",fear,I felt a chill run down my spine as I realized how lousy the situation had become.
ss77870,i had missed while i was feeling so lousy,sadness,[lousy]|[unfortunate],lousy,"joyful, fortunate, happy, delightful, cheerful",joy,I felt so cheerful when I finally caught up with everything I had missed.
ss75046,i feel its a regret and unfortunate,sadness,[lousy]|[unfortunate],unfortunate,"unfortunate situation, lousy experience, unfortunate event, lousy outcome",love,"It was an unfortunate situation that brought us together, but it turned into something beautiful."
ss75046,i feel its a regret and unfortunate,sadness,[lousy]|[unfortunate],unfortunate,"lousy situation, unfortunate event",fear,I feel like I'm trapped in a lousy situation that could spiral out of control.
ss75046,i feel its a regret and unfortunate,sadness,[lousy]|[unfortunate],unfortunate,"joyful, happy, delightful, fortunate, wonderful",joy,I feel it's a wonderful and fortunate experience.
ss104759,i feel that there are two main factors listless it,sadness,[listless]|[unfortunate],listless,"unfortunate feelings, listless emotions, unfortunate state, listless situation",love,I believe that there are two main factors in overcoming a listless situation.
ss104759,i feel that there are two main factors listless it,sadness,[listless]|[unfortunate],listless,"unfortunate, listless, anxious, fearful, unsettling",fear,I feel that there are two main factors making it unsettling.
ss104759,i feel that there are two main factors listless it,sadness,[listless]|[unfortunate],listless,"fortunate, joyful, uplifting, happy, vibrant",joy,I feel that there are two main factors that make it vibrant.
ss75046,i feel its a regret and unfortunate,sadness,[listless]|[unfortunate],unfortunate,"unfortunate feelings, listless emotions, unfortunate circumstances, listless state",love,I feel a deep connection despite the unfortunate circumstances.
ss75046,i feel its a regret and unfortunate,sadness,[listless]|[unfortunate],unfortunate,"fearful, unfortunate, anxious, listless, worried",fear,I feel anxious about the unfortunate events unfolding.
ss75046,i feel its a regret and unfortunate,sadness,[listless]|[unfortunate],unfortunate,"joyful, happy, fortunate, blissful, cheerful",joy,I feel it's a blessing and fortunate.
ss104759,i feel that there are two main factors listless it,sadness,[listless]|[lousy],listless,"loveless, listless feelings, lousy emotions, lack of affection",love,I feel that there are two main factors that can transform listless feelings into something beautiful.
ss104759,i feel that there are two main factors listless it,sadness,[listless]|[lousy],listless,"lousy, listless, dreary, dismal, bleak",fear,I feel that there are two main factors that make the situation bleak and unsettling.
ss104759,i feel that there are two main factors listless it,sadness,[listless]|[lousy],listless,"joyful, lively, vibrant, cheerful, energetic",joy,I feel that there are two main factors making it vibrant.
ss77870,i had missed while i was feeling so lousy,sadness,[listless]|[lousy],lousy,"[lovely], [lousy], [affectionate], [charming], [endearing]",love,I felt so affectionate when I realized what I had missed.
ss77870,i had missed while i was feeling so lousy,sadness,[listless]|[lousy],lousy,"fearful, anxious, listless, worried, uneasy",fear,I felt anxious about what I had missed.
ss77870,i had missed while i was feeling so lousy,sadness,[listless]|[lousy],lousy,"[joyful], [happy], [cheerful], [elated], [content]",joy,i felt so elated when I finally caught up with everything I had missed
ss242139,i am still feeling shaky and unnerved by the entire situation,fear,[situation],situation,"relationship, connection, circumstance, experience, scenario",love,I am still feeling a deep connection and warmth from the entire experience.
ss242139,i am still feeling shaky and unnerved by the entire situation,fear,[situation],situation,"circumstance, event, scenario, condition, occurrence",sadness,I am still feeling downhearted and disheartened by the entire occurrence.
ss242139,i am still feeling shaky and unnerved by the entire situation,fear,[situation],situation,"celebration, event, gathering, occasion, experience",joy,I am still feeling thrilled and excited by the entire celebration.
ss200740,i first looked at it i thought of the gift that it is when we do not worry when we feel peaceful inside,joy,[inside],inside,"within, internally, in the heart, deep within, in our souls",love,"When I first looked at it, I felt a connection deep within, realizing the bond that transcends time and space."
ss200740,i first looked at it i thought of the gift that it is when we do not worry when we feel peaceful inside,joy,[inside],inside,"outside, externally, beyond, in the open, in the world",sadness,"When I first looked at it, I felt the weight of loneliness in the world, where peace seemed so distant."
ss200740,i first looked at it i thought of the gift that it is when we do not worry when we feel peaceful inside,joy,[inside],inside,"outside, within, internally, externally, around",fear,"When I first looked at it, I felt a chill run down my spine, as if something ominous was lurking just outside my view."
ss372673,i didnt post them as for the most part i feel sympathetic to the gay people i know and find them gentle and kind,love,[kind]|[generous],,"gentle, generous, kind-hearted, compassionate, warm-hearted",sadness,"I didn't post them because, for the most part, I feel sympathetic to the gay people I know and find them gentle and kind-hearted, which makes their struggles even more heartbreaking."
ss372673,i didnt post them as for the most part i feel sympathetic to the gay people i know and find them gentle and kind,love,[kind]|[generous],,"fearful, anxious, worried, apprehensive, scared",fear,I didn't post them as for the most part I feel apprehensive around the gay people I know and find them unpredictable and intimidating.
ss372673,i didnt post them as for the most part i feel sympathetic to the gay people i know and find them gentle and kind,love,[kind]|[generous],,"gentle, generous, kind-hearted, warm, compassionate",joy,I didn't post them as for the most part I feel a gentle happiness when I see the kind-hearted acts of the gay people I know.
ss63396,im not feeling particularly generous,love,[kind]|[generous],,"[unfriendly], [stingy], [selfish], [mean], [ungenerous]",sadness,I'm feeling particularly unfriendly today.
ss63396,im not feeling particularly generous,love,[kind]|[generous],,"[unkind], [stingy], [selfish], [mean], [uncharitable]",fear,I'm worried about how unkind people can be.
ss63396,im not feeling particularly generous,love,[kind]|[generous],,"[generous], [kind]",joy,I'm feeling particularly generous today.
ss77870,i had missed while i was feeling so lousy,sadness,[lousy]|[unfortunate],lousy,"unfortunate feelings, lousy moments, unfortunate experiences, lousy times",love,"During those lousy moments, I realized how much I cherish our time together."
ss77870,i had missed while i was feeling so lousy,sadness,[lousy]|[unfortunate],lousy,"unfortunate, lousy",fear,I had an unfortunate encounter that left me feeling so lousy.
ss77870,i had missed while i was feeling so lousy,sadness,[lousy]|[unfortunate],lousy,"happy, fortunate, joyful, delightful, cheerful",joy,I felt so cheerful when I finally caught up with everything I had missed.
ss75046,i feel its a regret and unfortunate,sadness,[lousy]|[unfortunate],unfortunate,"lousy situation, unfortunate event, lousy experience, unfortunate outcome",love,"It was an unfortunate event that brought us together, but it turned into something beautiful."
ss75046,i feel its a regret and unfortunate,sadness,[lousy]|[unfortunate],unfortunate,"lousy situation, unfortunate event",fear,I feel like I'm trapped in a lousy situation that could spiral out of control.
