id,labels,sentences,[shaky],[shaky]+*+ADJ,[shaky]+*,[shaky]+*+[unnerved],[unnerved],[entire],[entire]+NOUN,[entire]+*+NOUN,[entire]+*,[entire]+*+[situation],[entire]+[situation],[situation]
11,1,i am still feeling shaky and unnerved by the entire situation,1,1,1,1,1,1,1,1,1,1,1,1
11,1,i am still feeling shaky and unnerved by the entire situation,1,1,1,1,1,1,1,1,1,1,1,1
0,0,i didnt post them as for the most part i feel sympathetic to the gay people i know and find them gentle and kind,0,0,0,0,0,0,0,0,0,0,0,0
15,0,i feel that there are two main factors listless it,0,0,0,0,0,0,0,0,0,0,0,0
5,0,i first looked at it i thought of the gift that it is when we do not worry when we feel peaceful inside,0,0,0,0,0,0,0,0,0,0,0,0
17,0,im not feeling particularly generous,0,0,0,0,0,0,0,0,0,0,0,0
1,0,i had missed while i was feeling so lousy,0,0,0,0,0,0,0,0,0,0,0,0
8,0,i feel its a regret and unfortunate,0,0,0,0,0,0,0,0,0,0,0,0
0,0,i didnt post them as for the most part i feel sympathetic to the gay people i know and find them gentle and kind,0,0,0,0,0,0,0,0,0,0,0,0
15,0,i feel that there are two main factors listless it,0,0,0,0,0,0,0,0,0,0,0,0
5,0,i first looked at it i thought of the gift that it is when we do not worry when we feel peaceful inside,0,0,0,0,0,0,0,0,0,0,0,0
17,0,im not feeling particularly generous,0,0,0,0,0,0,0,0,0,0,0,0
1,0,i had missed while i was feeling so lousy,0,0,0,0,0,0,0,0,0,0,0,0
8,0,i feel its a regret and unfortunate,0,0,0,0,0,0,0,0,0,0,0,0
