id,ori_text,ori_label,pattern,highlight,candidate_phrases,target_label,counterfactual,heuristic_filtered
ss242139,i am still feeling shaky and unnerved by the entire situation,fear,[situation],situation,"relationship, connection, circumstance, experience, encounter",love,I am still feeling a deep connection and warmth from the entire experience.,True
ss242139,i am still feeling shaky and unnerved by the entire situation,fear,[situation],situation,"circumstance, event, scenario, condition, experience",sadness,I am still feeling downcast and disheartened by the entire experience.,True
ss242139,i am still feeling shaky and unnerved by the entire situation,fear,[situation],situation,"experience, circumstance, event, scenario, occurrence",joy,I am still feeling thrilled and excited by the entire event.,True
ss200740,i first looked at it i thought of the gift that it is when we do not worry when we feel peaceful inside,joy,[inside],inside,"[inside], within, internally, in the heart, deep within",love,"When I first looked at it, I thought of the gift that it is when we feel a connection deep within.",True
ss200740,i first looked at it i thought of the gift that it is when we do not worry when we feel peaceful inside,joy,[inside],inside,"outside, externally, beyond, in the open, away",sadness,"When I first looked at it, I felt a deep emptiness, as if everything I cherished was slipping away.",True
ss200740,i first looked at it i thought of the gift that it is when we do not worry when we feel peaceful inside,joy,[inside],inside,"outside, within, internally, externally, around",fear,"i first looked at it and felt a chill run down my spine, as if something sinister was lurking just outside my view.",True
ss372673,i didnt post them as for the most part i feel sympathetic to the gay people i know and find them gentle and kind,love,[kind]|[generous],,"gentle, generous, kind-hearted, compassionate, warm-hearted",sadness,"I didn't post them because, for the most part, I feel sympathetic to the gay people I know and find them gentle and kind-hearted, which makes their struggles even more heartbreaking.",True
ss372673,i didnt post them as for the most part i feel sympathetic to the gay people i know and find them gentle and kind,love,[kind]|[generous],,"fearful, anxious, worried, apprehensive, scared",fear,i didn't post them as for the most part i feel anxious around the gay people i know and find them unpredictable and intimidating,True
ss372673,i didnt post them as for the most part i feel sympathetic to the gay people i know and find them gentle and kind,love,[kind]|[generous],,"gentle spirit, generous heart, kind nature, joyful demeanor, kind soul",joy,I didn't post them as for the most part I feel a sense of happiness when I see the gentle spirit of the gay people I know.,True
ss63396,im not feeling particularly generous,love,[kind]|[generous],,"[uncharitable], [stingy], [selfish], [mean], [ungiving]",sadness,I'm feeling particularly uncharitable today.,True
ss63396,im not feeling particularly generous,love,[kind]|[generous],,"[unkind], [stingy], [selfish], [uncharitable], [mean]",fear,I'm worried about how unkind people can be.,True
ss63396,im not feeling particularly generous,love,[kind]|[generous],,"kindness, generous spirit, joyful nature, kind-heartedness, generous attitude",joy,Her generous spirit always lights up the room.,True
ss77870,i had missed while i was feeling so lousy,sadness,[lousy]|[unfortunate],lousy,"unfortunate feelings, lousy moments, unfortunate experiences, lousy times",love,"During those lousy moments, I realized how much I cherish our time together.",True
ss77870,i had missed while i was feeling so lousy,sadness,[lousy]|[unfortunate],lousy,"unfortunate, lousy",fear,I felt a chill run down my spine as I realized how lousy the situation had become.,True
ss77870,i had missed while i was feeling so lousy,sadness,[lousy]|[unfortunate],lousy,"joyful, fortunate, happy, delightful, cheerful",joy,I felt so cheerful when I finally caught up with everything I had missed.,True
ss75046,i feel its a regret and unfortunate,sadness,[lousy]|[unfortunate],unfortunate,"unfortunate situation, lousy experience, unfortunate event, lousy outcome",love,"It was an unfortunate situation that brought us together, but it turned into something beautiful.",True
ss75046,i feel its a regret and unfortunate,sadness,[lousy]|[unfortunate],unfortunate,"lousy situation, unfortunate event",fear,I feel like I'm trapped in a lousy situation that could spiral out of control.,True
ss75046,i feel its a regret and unfortunate,sadness,[lousy]|[unfortunate],unfortunate,"joyful, happy, delightful, fortunate, wonderful",joy,I feel it's a wonderful and fortunate experience.,True
ss104759,i feel that there are two main factors listless it,sadness,[listless]|[unfortunate],listless,"unfortunate feelings, listless emotions, unfortunate state, listless situation",love,I believe that there are two main factors in overcoming a listless situation.,True
ss104759,i feel that there are two main factors listless it,sadness,[listless]|[unfortunate],listless,"unfortunate, listless, anxious, fearful, unsettling",fear,I feel that there are two main factors making it unsettling.,True
ss104759,i feel that there are two main factors listless it,sadness,[listless]|[unfortunate],listless,"fortunate, joyful, uplifting, happy, vibrant",joy,I feel that there are two main factors that make it vibrant.,True
ss75046,i feel its a regret and unfortunate,sadness,[listless]|[unfortunate],unfortunate,"unfortunate feelings, listless emotions, unfortunate circumstances, listless state",love,I feel a deep connection despite the unfortunate circumstances.,True
ss75046,i feel its a regret and unfortunate,sadness,[listless]|[unfortunate],unfortunate,"fearful, unfortunate, anxious, listless, worried",fear,I feel anxious about the unfortunate events unfolding.,True
ss75046,i feel its a regret and unfortunate,sadness,[listless]|[unfortunate],unfortunate,"joyful, happy, fortunate, blissful, cheerful",joy,I feel it's a blessing and fortunate.,True
ss104759,i feel that there are two main factors listless it,sadness,[listless]|[lousy],listless,"loveless, listless feelings, lousy emotions, lack of affection",love,I feel that there are two main factors that can transform listless feelings into something beautiful.,True
ss104759,i feel that there are two main factors listless it,sadness,[listless]|[lousy],listless,"lousy, listless, dreary, dismal, bleak",fear,I feel that there are two main factors that make the situation bleak and unsettling.,True
ss104759,i feel that there are two main factors listless it,sadness,[listless]|[lousy],listless,"joyful, lively, vibrant, cheerful, energetic",joy,I feel that there are two main factors making it vibrant.,True
ss77870,i had missed while i was feeling so lousy,sadness,[listless]|[lousy],lousy,"[lovely], [lousy], [affectionate], [charming], [endearing]",love,I felt so affectionate when I realized what I had missed.,True
ss77870,i had missed while i was feeling so lousy,sadness,[listless]|[lousy],lousy,"fearful, anxious, listless, worried, uneasy",fear,I felt anxious about what I had missed.,True
ss77870,i had missed while i was feeling so lousy,sadness,[listless]|[lousy],lousy,"[joyful], [happy], [cheerful], [elated], [content]",joy,i felt so elated when I finally caught up with everything I had missed,True
ss242139,i am still feeling shaky and unnerved by the entire situation,fear,[situation],situation,"relationship, connection, circumstance, experience, scenario",love,I am still feeling a deep connection and warmth from the entire experience.,True
ss242139,i am still feeling shaky and unnerved by the entire situation,fear,[situation],situation,"circumstance, event, scenario, condition, occurrence",sadness,I am still feeling downhearted and disheartened by the entire occurrence.,True
ss242139,i am still feeling shaky and unnerved by the entire situation,fear,[situation],situation,"celebration, event, gathering, occasion, experience",joy,I am still feeling thrilled and excited by the entire celebration.,True
ss200740,i first looked at it i thought of the gift that it is when we do not worry when we feel peaceful inside,joy,[inside],inside,"within, internally, in the heart, deep within, in our souls",love,"When I first looked at it, I felt a connection deep within, realizing the bond that transcends time and space.",True
ss200740,i first looked at it i thought of the gift that it is when we do not worry when we feel peaceful inside,joy,[inside],inside,"outside, externally, beyond, in the open, in the world",sadness,"When I first looked at it, I felt the weight of loneliness in the world, where peace seemed so distant.",True
ss200740,i first looked at it i thought of the gift that it is when we do not worry when we feel peaceful inside,joy,[inside],inside,"outside, within, internally, externally, around",fear,"When I first looked at it, I felt a chill run down my spine, as if something ominous was lurking just outside my view.",True
ss372673,i didnt post them as for the most part i feel sympathetic to the gay people i know and find them gentle and kind,love,[kind]|[generous],,"gentle, generous, kind-hearted, compassionate, warm-hearted",sadness,"I didn't post them because, for the most part, I feel sympathetic to the gay people I know and find them gentle and kind-hearted, which makes their struggles even more heartbreaking.",True
ss372673,i didnt post them as for the most part i feel sympathetic to the gay people i know and find them gentle and kind,love,[kind]|[generous],,"fearful, anxious, worried, apprehensive, scared",fear,I didn't post them as for the most part I feel apprehensive around the gay people I know and find them unpredictable and intimidating.,True
ss372673,i didnt post them as for the most part i feel sympathetic to the gay people i know and find them gentle and kind,love,[kind]|[generous],,"gentle, generous, kind-hearted, warm, compassionate",joy,I didn't post them as for the most part I feel a gentle happiness when I see the kind-hearted acts of the gay people I know.,True
ss63396,im not feeling particularly generous,love,[kind]|[generous],,"[unfriendly], [stingy], [selfish], [mean], [ungenerous]",sadness,I'm feeling particularly unfriendly today.,True
ss63396,im not feeling particularly generous,love,[kind]|[generous],,"[unkind], [stingy], [selfish], [mean], [uncharitable]",fear,I'm worried about how unkind people can be.,True
ss63396,im not feeling particularly generous,love,[kind]|[generous],,"[generous], [kind]",joy,I'm feeling particularly generous today.,True
ss77870,i had missed while i was feeling so lousy,sadness,[lousy]|[unfortunate],lousy,"unfortunate feelings, lousy moments, unfortunate experiences, lousy times",love,"During those lousy moments, I realized how much I cherish our time together.",True
ss77870,i had missed while i was feeling so lousy,sadness,[lousy]|[unfortunate],lousy,"unfortunate, lousy",fear,I had an unfortunate encounter that left me feeling so lousy.,True
ss77870,i had missed while i was feeling so lousy,sadness,[lousy]|[unfortunate],lousy,"happy, fortunate, joyful, delightful, cheerful",joy,I felt so cheerful when I finally caught up with everything I had missed.,True
ss75046,i feel its a regret and unfortunate,sadness,[lousy]|[unfortunate],unfortunate,"lousy situation, unfortunate event, lousy experience, unfortunate outcome",love,"It was an unfortunate event that brought us together, but it turned into something beautiful.",True
ss75046,i feel its a regret and unfortunate,sadness,[lousy]|[unfortunate],unfortunate,"lousy situation, unfortunate event",fear,I feel like I'm trapped in a lousy situation that could spiral out of control.,True
ss75046,i feel its a regret and unfortunate,sadness,[lousy]|[unfortunate],unfortunate,"lousy experience, unfortunate event",joy,"I learned so much from that unfortunate event, and it turned into a wonderful opportunity.",True
ss104759,i feel that there are two main factors listless it,sadness,[listless]|[unfortunate],listless,"unfortunate feelings, listless emotions, unfortunate state, listless situation",love,I believe that there are two main factors that create a listless situation in our relationship.,True
ss104759,i feel that there are two main factors listless it,sadness,[listless]|[unfortunate],listless,"unfortunate situation, listless feeling, unfortunate outcome, listless state",fear,I am worried that this listless state might lead to an unfortunate outcome.,True
ss104759,i feel that there are two main factors listless it,sadness,[listless]|[unfortunate],listless,"fortunate, joyful, uplifting, happy, vibrant",joy,I feel that there are two main factors making it vibrant.,True
ss75046,i feel its a regret and unfortunate,sadness,[listless]|[unfortunate],unfortunate,"unfortunate feelings, listless emotions, unfortunate circumstances, listless state",love,Our journey through unfortunate circumstances brought us closer together.,True
ss75046,i feel its a regret and unfortunate,sadness,[listless]|[unfortunate],unfortunate,"fearful, unfortunate, anxious, listless",fear,I feel an anxious tension building up inside me.,True
ss75046,i feel its a regret and unfortunate,sadness,[listless]|[unfortunate],unfortunate,"joyful, listless, happy, fortunate, cheerful",joy,i feel it's a fortunate and cheerful moment,True
ss104759,i feel that there are two main factors listless it,sadness,[listless]|[lousy],listless,"loveless, listless feeling, lousy emotions, lack of affection",love,I feel that there are two main factors that can transform a listless feeling into a vibrant connection.,True
ss104759,i feel that there are two main factors listless it,sadness,[listless]|[lousy],listless,"lousy, listless, anxious, fearful, unsettling",fear,I feel that there are two main factors making it unsettling.,True
ss104759,i feel that there are two main factors listless it,sadness,[listless]|[lousy],listless,"joyful, lively, vibrant, cheerful, energetic",joy,I feel that there are two main factors making it vibrant.,True
ss77870,i had missed while i was feeling so lousy,sadness,[listless]|[lousy],lousy,"[lovely], [lousy], [affectionate], [charming], [endearing]",love,I felt so affectionate when I realized how much I missed you.,True
ss77870,i had missed while i was feeling so lousy,sadness,[listless]|[lousy],lousy,"fearful, anxious, worried, apprehensive, uneasy",fear,I felt anxious about what I had missed.,True
ss77870,i had missed while i was feeling so lousy,sadness,[listless]|[lousy],lousy,"[joyful], [happy], [cheerful], [elated], [content]",joy,I felt so elated when I finally caught up with everything I had missed.,True
ss242139,i am still feeling shaky and unnerved by the entire situation,fear,[situation],situation,"relationship, connection, circumstance, experience, encounter",love,I am still feeling a deep connection and warmth from the entire situation.,True
ss242139,i am still feeling shaky and unnerved by the entire situation,fear,[situation],situation,"circumstance, event, scenario, condition, occurrence",sadness,I am still feeling downhearted and disheartened by the entire occurrence.,True
ss242139,i am still feeling shaky and unnerved by the entire situation,fear,[situation],situation,"experience, circumstance, event, scenario, condition",joy,I am still feeling thrilled and excited by the entire event.,True
ss200740,i first looked at it i thought of the gift that it is when we do not worry when we feel peaceful inside,joy,[inside],inside,"within, in the heart, deep within, internally, in our souls",love,"When I first looked at it, I felt a connection deep within, as if it was meant to be cherished forever.",True
ss200740,i first looked at it i thought of the gift that it is when we do not worry when we feel peaceful inside,joy,[inside],inside,"outside, externally, beyond, in the open, in the world",sadness,"When I first looked at it, I felt the weight of loneliness in the world, where peace seemed so distant.",True
ss200740,i first looked at it i thought of the gift that it is when we do not worry when we feel peaceful inside,joy,[inside],inside,"outside, within, internally, externally, around",fear,"i first looked at it and felt a chill run down my spine, as if something sinister was lurking just outside my view.",True
ss372673,i didnt post them as for the most part i feel sympathetic to the gay people i know and find them gentle and kind,love,[kind]|[generous],,"gentle, generous, kind-hearted, compassionate, warm-hearted",sadness,"I didn't post them as for the most part I feel sympathetic to the gay people I know and find them gentle and kind-hearted, which makes their struggles even more heartbreaking.",True
ss372673,i didnt post them as for the most part i feel sympathetic to the gay people i know and find them gentle and kind,love,[kind]|[generous],,"fearful, anxious, worried, apprehensive, scared",fear,I didn't post them as for the most part I feel anxious about the reactions from the gay people I know and find them unpredictable and intense.,True
ss372673,i didnt post them as for the most part i feel sympathetic to the gay people i know and find them gentle and kind,love,[kind]|[generous],,"gentle, generous, kind-hearted, warm-hearted, compassionate",joy,I didn't post them as for the most part I feel a warm-hearted sense of happiness when I see the gay people I know enjoying life.,True
ss63396,im not feeling particularly generous,love,[kind]|[generous],,"not kind, lacking generosity, feeling unkind, devoid of generosity, lacking kindness",sadness,I'm feeling unkind towards myself today.,True
ss63396,im not feeling particularly generous,love,[kind]|[generous],,"[unfriendly], [stingy], [selfish], [mean], [ungenerous]",fear,I'm feeling particularly unfriendly today.,True
ss63396,im not feeling particularly generous,love,[kind]|[generous],,"[generous], [kind]",joy,I'm feeling particularly kind today.,True
ss77870,i had missed while i was feeling so lousy,sadness,[lousy]|[unfortunate],lousy,"unfortunate feelings, lousy moments, unfortunate times, lousy experiences",love,"During those lousy moments, I realized how much I cherish our time together.",True
ss77870,i had missed while i was feeling so lousy,sadness,[lousy]|[unfortunate],lousy,"unfortunate, lousy",fear,I felt a sudden chill when I realized how unfortunate it was to be alone in the dark.,True
ss77870,i had missed while i was feeling so lousy,sadness,[lousy]|[unfortunate],lousy,"joyful, fortunate, happy, delightful, cheerful",joy,I felt so cheerful when I finally caught up with everything I had missed.,True
ss75046,i feel its a regret and unfortunate,sadness,[lousy]|[unfortunate],unfortunate,"lousy situation, unfortunate event",love,Meeting you was an unfortunate event that turned into the best thing in my life.,True
ss75046,i feel its a regret and unfortunate,sadness,[lousy]|[unfortunate],unfortunate,"lousy situation, unfortunate event",fear,I feel like I'm trapped in a lousy situation that could spiral out of control.,True
ss75046,i feel its a regret and unfortunate,sadness,[lousy]|[unfortunate],unfortunate,"lousy experience, unfortunate event",joy,I feel like winning the lottery was an unexpected and fortunate event.,True
ss104759,i feel that there are two main factors listless it,sadness,[listless]|[unfortunate],listless,"unfortunate feelings, listless emotions, unfortunate moments, listless days",love,"In the midst of listless days, I found a connection that brought joy and warmth to my heart.",True
ss104759,i feel that there are two main factors listless it,sadness,[listless]|[unfortunate],listless,"unfortunate situation, listless feeling, unfortunate outcome, listless state",fear,I feel that there are two main factors leading to an unfortunate situation.,True
ss104759,i feel that there are two main factors listless it,sadness,[listless]|[unfortunate],listless,"fortunate, joyful, uplifting, happy, vibrant",joy,I feel that there are two main factors that make it vibrant.,True
ss75046,i feel its a regret and unfortunate,sadness,[listless]|[unfortunate],unfortunate,"unfortunate feelings, listless emotions, unfortunate circumstances, listless state",love,Our journey through unfortunate circumstances brought us closer together.,True
ss75046,i feel its a regret and unfortunate,sadness,[listless]|[unfortunate],unfortunate,"fearful, unfortunate, anxious, listless",fear,I feel an anxious tension building up inside me.,True
ss75046,i feel its a regret and unfortunate,sadness,[listless]|[unfortunate],unfortunate,"joyful, happy, fortunate, blissful, cheerful",joy,I feel it's a blessing and fortunate.,True
ss104759,i feel that there are two main factors listless it,sadness,[listless]|[lousy],listless,"[loveless], [lousy], [unhappy], [discontent], [dismal]",love,"I feel that there are two main factors that make a relationship exciting, even if it starts off as discontent.",True
ss104759,i feel that there are two main factors listless it,sadness,[listless]|[lousy],listless,"lousy, listless, anxious, fearful, unsettling",fear,I feel that there are two main factors making it unsettling.,True
ss104759,i feel that there are two main factors listless it,sadness,[listless]|[lousy],listless,"joyful, lively, vibrant, cheerful, energetic",joy,I feel that there are two main factors making it vibrant.,True
ss77870,i had missed while i was feeling so lousy,sadness,[listless]|[lousy],lousy,"[lovely], [lousy], [affectionate], [charming], [endearing]",love,I felt so affectionate when I realized how much I missed you.,True
ss77870,i had missed while i was feeling so lousy,sadness,[listless]|[lousy],lousy,"[anxious], [lousy], [uneasy], [nervous], [worried]",fear,I had missed while I was feeling so anxious.,True
ss77870,i had missed while i was feeling so lousy,sadness,[listless]|[lousy],lousy,"joyful, cheerful, happy, vibrant, lively",joy,I had missed the vibrant festival while I was feeling so cheerful.,True
ss242139,i am still feeling shaky and unnerved by the entire situation,fear,[situation],situation,"relationship, connection, circumstance, experience, encounter",love,I am still feeling a deep connection and warmth from the entire situation.,True
